ID,latitude longitude
BB1,46.8193 -116.7349
BB2,46.819 -116.7348
BB3,46.8188 -116.7356
BB4,46.8191 -116.7366
BB5,46.8193 -116.7329
BB6,46.818 -116.7317
BB7,46.8174 -116.7321
BC1,45.9668 -120.732
BC2,45.9665 -120.7335
BC3,45.9661 -120.7329
BC4,45.9656 -120.7334
BC5,45.9652 -120.7352
BC6,45.9653 -120.7363
BC7,45.9662 -120.7354
BF1,46.3821 -116.2233
BF2,46.3826 -116.2229
BF3,46.3833 -116.2229
BF4,46.3831 -116.2214
BF5,46.3832 -116.2209
BF6,46.3831 -116.2199
BF7,46.3828 -116.2204
BM1,46.5976 -115.8813
BM2,46.5979 -115.88
BM3,46.5986 -115.879
BM4,46.5993 -115.8802
BM5,46.5993 -115.8795
BM6,46.601 -115.8797
BM7,46.6005 -115.8816
CR1,48.0058 -117.7612
CR2,48.0058 -117.7625
CR3,48.0061 -117.7634
CR4,48.0062 -117.7635
CR5,48.0061 -117.7643
CR6,48.0064 -117.7612
CR7,48.0062 -117.7592
CT1,48.1836 -117.1279
CT2,48.1833 -117.127
CT3,48.183 -117.1274
CT4,48.1827 -117.1281
CT5,48.182 -117.1282
CT6,48.1817 -117.1285
CT7,48.1828 -117.1296
DF1,47.759 -114.7301
DF2,47.7593 -114.7307
DF3,47.7599 -114.7311
DF4,47.7603 -114.7313
DF5,47.7608 -114.7313
DF6,47.7621 -114.7315
DF7,47.7606 -114.7307
EM1,48.0773 -117.8833
EM2,48.0778 -117.8838
EM3,48.0772 -117.8841
EM4,48.0767 -117.8841
EM5,48.0769 -117.885
EM6,48.0777 -117.8849
EM7,48.0762 -117.8842
GC1,48.162 -117.6208
GC2,48.162 -117.6207
GC3,48.1609 -117.6203
GC4,48.1625 -117.6218
GC5,48.1627 -117.6218
GC6,48.1626 -117.6226
GC7,48.1625 -117.6227
GR1,46.8809 -113.4562
GR2,46.8811 -113.4578
GR3,46.8817 -113.4577
GR4,46.8831 -113.4575
GR5,46.8828 -113.455
GR6,46.8819 -113.4568
GR7,46.8797 -113.4571
GS1,46.7472 -115.9244
GS2,46.7478 -115.9261
GS3,46.7462 -115.9285
GS4,46.7461 -115.9295
GS5,46.747 -115.9289
GS6,46.7472 -115.9299
GS7,46.7472 -115.9312
HR1,47.9357 -114.7249
HR2,47.936 -114.7243
HR3,47.9353 -114.7235
HR4,47.9372 -114.7237
HR5,47.9378 -114.7231
HR6,47.9373 -114.7223
HR7,47.9367 -114.7223
KC1,47.984 -117.8865
KC2,47.9846 -117.8868
KC3,47.9851 -117.8874
KC4,47.9854 -117.8867
KC5,47.9858 -117.8872
KC6,47.9859 -117.8864
KC7,47.9865 -117.8857
LF1,46.8905 -113.4307
LF2,46.891 -113.4316
LF3,46.8909 -113.4325
LF4,46.8908 -113.4334
LF5,46.891 -113.4341
LF6,46.8916 -113.4339
LF7,46.8913 -113.4331
LL1,48.1133 -117.6228
LL2,48.1131 -117.6227
LL3,48.1128 -117.6221
LL4,48.1119 -117.6223
LL5,48.1111 -117.6227
LL6,48.1114 -117.6231
LL7,48.1117 -117.624
LP1,48.0096 -114.682
LP2,48.0095 -114.6812
LP3,48.0091 -114.6807
LP4,48.0081 -114.6817
LP5,48.0085 -114.6814
LP6,48.0101 -114.6815
LP7,48.0112 -114.6815
LR1,46.7797 -120.9628
LR2,46.7794 -120.9637
LR3,46.7789 -120.9648
LR4,46.7787 -120.9656
LR5,46.7801 -120.9627
LR6,46.7806 -120.9619
LR7,46.7784 -120.9617
PC1,47.0596 -116.9623
PC2,47.0592 -116.9623
PC3,47.0582 -116.9631
PC4,47.0575 -116.9625
PC5,47.0577 -116.9632
PC6,47.0611 -116.9613
PC7,47.0566 -116.9621
RM1,47.9786 -117.9248
RM2,47.9787 -117.9257
RM3,47.9794 -117.9247
RM4,47.9794 -117.926
RM5,47.9796 -117.9268
RM6,47.9792 -117.9271
RM7,47.9795 -117.928
SC1,47.0935 -114.0693
SC2,47.0925 -114.0687
SC3,47.0932 -114.07
SC4,47.0936 -114.0706
SC5,47.0933 -114.0709
SC6,47.0932 -114.0716
SC7,47.0932 -114.0704
SG1,47.7658 -114.5
SG2,47.7657 -114.4997
SG3,47.7656 -114.5009
SG4,47.7667 -114.4989
SG5,47.7649 -114.4986
SG6,47.7654 -114.498
SG7,47.7658 -114.4982
SL1,48.4034 -117.1836
SL2,48.4034 -117.1844
SL3,48.4033 -117.1853
SL4,48.4032 -117.1858
SL5,48.4042 -117.1866
SL6,48.4039 -117.1868
SL7,48.4037 -117.1839
TC1,46.1873 -116.5671
TC2,46.1874 -116.5666
TC3,46.1862 -116.5642
TC4,46.1873 -116.5641
TC5,46.1865 -116.5628
TC6,46.1862 -116.5621
TC7,46.1856 -116.5608
TJ1,47.9378 -117.897
TJ2,47.9384 -117.8972
TJ3,47.9384 -117.8971
TJ4,47.9386 -117.8974
TJ5,47.9389 -117.898
TJ6,47.9389 -117.8984
TJ7,47.9379 -117.8985
TP1,46.8863 -113.4928
TP2,46.8866 -113.492
TP3,46.8872 -113.4916
TP4,46.8876 -113.492
TP5,46.8884 -113.492
TP6,46.8882 -113.4929
TP7,46.8871 -113.4926
UM1,48.0154 -114.6808
UM2,48.0158 -114.6799
UM3,48.0163 -114.6797
UM4,48.0158 -114.6804
UM5,48.0162 -114.6822
UM6,48.0158 -114.6822
UM7,48.0146 -114.6811
UW1,48.5749 -114.6934
UW2,48.578 -114.6898
UW3,48.5784 -114.6737
UW4,48.5791 -114.6736
UW5,48.5777 -114.6739
UW6,48.5773 -114.673
UW7,48.5771 -114.6738
